"id","code","name","small_name","description","type","parent_id:id"
"cfop_25","1204","Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio",,"Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas no código 5.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","input","cfop_21"
"cfop_26","1205","Anulação de valor relativo à prestação de serviço de comunicação",,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de comunicação.","input","cfop_21"
"cfop_27","1206","Anulação de valor relativo à prestação de serviço de transporte",,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de transporte.","input","cfop_21"
"cfop_28","1207","Anulação de valor relativo à venda de energia elétrica",,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de venda de energia elétrica.","input","cfop_21"
"cfop_29","1208","Devolução de produção do estabelecimento, remetida em transferência",,"Classificam-se neste código as devoluções de produtos industrializados ou produzidos pelo próprio estabelecimento, transferidos para outros estabelecimentos da mesma empresa.","input","cfop_21"
"cfop_30","1209","Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência",,"Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa.","input","cfop_21"
"cfop_31","1250","COMPRAS DE ENERGIA ELÉTRICA",,,"input","cfop_1"
"cfop_32","1251","Compra de energia elétrica para distribuição ou comercialização",,"Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.","input","cfop_31"
"cfop_33","1252","Compra de energia elétrica por estabelecimento industrial",,"Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.","input","cfop_31"
"cfop_34","1253","Compra de energia elétrica por estabelecimento comercial",,"Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.","input","cfop_31"
"cfop_35","1254","Compra de energia elétrica por estabelecimento prestador de serviço de transporte",,"Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.","input","cfop_31"
"cfop_36","1255","Compra de energia elétrica por estabelecimento prestador de serviço de comunicação",,"Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.","input","cfop_31"
"cfop_37","1256","Compra de energia elétrica por estabelecimento de produtor rural",,"Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.","input","cfop_31"
"cfop_38","1257","Compra de energia elétrica para consumo por demanda contratada",,"Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.","input","cfop_31"
"cfop_39","1300","AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO",,,"input","cfop_1"
"cfop_40","1301","Aquisição de serviço de comunicação para execução de serviço da mesma natureza",,"Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.","input","cfop_39"
"cfop_41","1302","Aquisição de serviço de comunicação por estabelecimento industrial",,"Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.","input","cfop_39"
"cfop_42","1303","Aquisição de serviço de comunicação por estabelecimento comercial",,"Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.","input","cfop_39"
"cfop_43","1304","Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte",,"Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento prestador de serviço de transporte.","input","cfop_39"
"cfop_44","1305","Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica",,"Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.","input","cfop_39"
"cfop_45","1306","Aquisição de serviço de comunicação por estabelecimento de produtor rural",,"Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de produtor rural.","input","cfop_39"
"cfop_46","1350","AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE",,,"input","cfop_1"
"cfop_47","1351","Aquisição de serviço de transporte para execução de serviço da mesma natureza",,"Classificam-se neste código as aquisições de serviços de transporte utilizados nas prestações de serviços da mesma natureza.","input","cfop_46"
"cfop_48","1352","Aquisição de serviço de transporte por estabelecimento industrial",,"Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial de cooperativa.","input","cfop_46"
"cfop_49","1353","Aquisição de serviço de transporte por estabelecimento comercial",,"Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial de cooperativa.","input","cfop_46"
"cfop_50","1354","Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação",,"Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento prestador de serviços de comunicação.","input","cfop_46"
"cfop_51","1355","Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica",,"Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.","input","cfop_46"
"cfop_52","1356","Aquisição de serviço de transporte por estabelecimento de produtor rural",,"Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de produtor rural.","input","cfop_46"
"cfop_53","1400","ENTRADAS DE MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA",,,"input","cfop_1"
"cfop_54","1401","Compra para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária",,"Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural, decorrentes de operações com mercadorias sujeitas ao regime de substituição tributária. Também serão classificadas neste código as compras por estabelecimento industrial ou produtor rural de cooperativa de mercadorias sujeitas ao regime de substituição tributária.","input","cfop_53"
"cfop_55","1403","Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária",,"Classificam-se neste código as compras de mercadorias a serem comercializadas, decorrentes de operações com mercadorias sujeitas ao regime de substituição tributária. Também serão classificadas neste código as compras de mercadorias sujeitas ao regime de substituição tributária em estabelecimento comercial de cooperativa.","input","cfop_53"
"cfop_56","1406","Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária",,"Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.","input","cfop_53"
"cfop_57","1407","Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária",,"Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.","input","cfop_53"
"cfop_58","1408","Transferência para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária",,"Classificam-se neste código as mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem industrializadas ou consumidas na produção rural no estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.","input","cfop_53"
"cfop_59","1409","Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária",,"Classificam-se neste código as mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas, decorrentes de operações sujeitas ao regime de substituição tributária.","input","cfop_53"
"cfop_60","1410","Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária",,"Classificam-se neste código as devoluções de produtos industrializados ou produzidos pelo próprio estabelecimento, cujas saídas tenham sido classificadas como Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária.","input","cfop_53"
"cfop_61","1411","Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária",,"Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária.","input","cfop_53"
"cfop_62","1414","Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária",,"Classificam-se neste código as entradas, em retorno, de produtos industrializados ou produzidos pelo próprio estabelecimento, remetidos para vendas fora do estabelecimento, inclusive por meio de veículos, em operações com produtos sujeitos ao regime de substituição tributária, e não comercializadas.","input","cfop_53"
"cfop_63","1415","Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária",,"Classificam-se neste código as entradas, em retorno, de mercadorias adquiridas ou recebidas de terceiros remetidas para vendas fora do estabelecimento, inclusive por meio de veículos, em operações com mercadorias sujeitas ao regime de substituição tributária, e não comercializadas.","input","cfop_53"
"cfop_64","1450","SISTEMAS DE INTEGRAÇÃO",,,"input","cfop_1"
"cfop_65","1451","Retorno de animal do estabelecimento produtor",,"Classificam-se neste código as entradas referentes ao retorno de animais criados pelo produtor no sistema integrado.","input","cfop_64"
"cfop_66","1452","Retorno de insumo não utilizado na produção",,"Classificam-se neste código o retorno de insumos não utilizados pelo produtor na criação de animais pelo sistema integrado.","input","cfop_64"
"cfop_67","1500","ENTRADAS DE MERCADORIAS REMETIDAS PARA FORMAÇÃO DE LOTE OU COM FIM ESPECÍFICO DE EXPORTAÇÃO E EVENTUAIS DEVOLUÇÕES",,,"input",
"cfop_68","1501","Entrada de mercadoria recebida com fim específico de exportação",,"Classificam-se neste código as entradas de mercadorias em estabelecimento de trading company, empresa comercial exportadora ou outro estabelecimento do remetente, com fim específico de exportação.","input","cfop_67"
"cfop_69","1503","Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento",,"Classificam-se neste código as devoluções de produtos industrializados ou produzidos pelo próprio estabelecimento, remetidos a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cujas saídas tenham sido classificadas no código 5.501  Remessa de produção do estabelecimento, com fim específico de exportação.","input","cfop_67"
"cfop_70","1504","Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros",,"Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros remetidas a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cujas saídas tenham sido classificadas no código 5.502 - Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação.","input","cfop_67"
"cfop_71","1505","Entrada decorrente de devolução simbólica de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento",,"Classificam-se neste código as devoluções simbólicas de mercadorias remetidas para formação de lote de exportação, cujas saídas tenham sido classificadas no código 5.504 - Remessa de mercadorias para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.","input","cfop_67"
"cfop_72","1506","Entrada decorrente de devolução simbólica de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação",,"Classificam-se neste código as devoluções simbólicas de mercadorias remetidas para formação de lote de exportação em armazéns alfandegados, entrepostos aduaneiros ou outros estabelecimentos que venham a ser regulamentados pela legislação tributária de cada Unidade Federada, efetuadas pelo estabelecimento depositário, cujas saídas tenham sido classificadas no código 5.505 - Remessa de mercadorias, adquiridas ou recebidas de terceiros, para formação de lote de exportação.","input","cfop_67"
"cfop_73","1550","OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO",,,"input","cfop_1"
"cfop_74","1551","Compra de bem para o ativo imobilizado",,"Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento.","input","cfop_73"
"cfop_75","1552","Transferência de bem do ativo imobilizado",,"Classificam-se neste código as entradas de bens destinados ao ativo imobilizado recebidos em transferência de outro estabelecimento da mesma empresa.","input","cfop_73"
"cfop_76","1553","Devolução de venda de bem do ativo imobilizado",,"Classificam-se neste código as devoluções de vendas de bens do ativo imobilizado, cujas saídas tenham sido classificadas no código 5.551 - Venda de bem do ativo imobilizado.","input","cfop_73"
"cfop_77","1554","Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento",,"Classificam-se neste código as entradas por retorno de bens do ativo imobilizado remetidos para uso fora do estabelecimento, cujas saídas tenham sido classificadas no código 5.554 - Remessa de bem do ativo imobilizado para uso fora do estabelecimento.","input","cfop_73"
"cfop_78","1555","Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento",,"Classificam-se neste código as entradas de bens do ativo imobilizado de terceiros, remetidos para uso no estabelecimento.","input","cfop_73"
"cfop_79","1556","Compra de material para uso ou consumo",,"Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.","input","cfop_73"
"cfop_80","1557","Transferência de material para uso ou consumo",,"Classificam-se neste código as entradas de materiais para uso ou consumo recebidos em transferência de outro estabelecimento da mesma empresa.","input","cfop_73"
"cfop_81","1600","CRÉDITOS E RESSARCIMENTOS DE ICMS",,,"input","cfop_1"
"cfop_82","1601","Recebimento, por transferência, de crédito de ICMS",,"Classificam-se neste código os lançamentos destinados ao registro de créditos de ICMS, recebidos por transferência de outras empresas.","input","cfop_81"
"cfop_83","1602","Recebimento, por transferência, de saldo credor de ICMS de outro estabelecimento da mesma empresa, para compensação de saldo devedor de ICMS",,"Classificam-se neste código os lançamentos destinados ao registro da transferência de saldos credores de ICMS recebidos de outros estabelecimentos da mesma empresa, destinados à compensação do saldo devedor do estabelecimento, inclusive no caso de apuração centralizada do imposto.","input","cfop_81"
"cfop_84","1603","Ressarcimento de ICMS retido por substituição tributária",,"Classificam-se neste código os lançamentos destinados ao registro de ressarcimento de ICMS retido por substituição tributária a contribuinte substituído, efetuado pelo contribuinte substituto, ou, ainda, quando o ressarcimento for apropriado pelo próprio contribuinte substituído, nas hipóteses previstas na legislação aplicável.","input","cfop_81"
"cfop_85","1604","Lançamento do crédito relativo à compra de bem para o ativo imobilizado",,"Classificam-se neste código os lançamentos destinados ao registro da apropriação de crédito de bens do ativo imobilizado.","input","cfop_81"
"cfop_86","1605","Recebimento, por transferência, de saldo devedor de ICMS de outro estabelecimento da mesma empresa",,"Classificam-se neste código os lançamentos destinados ao registro da transferência de saldo devedor de ICMS recebido de outro estabelecimento da mesma empresa, para efetivação da apuração centralizada do imposto","input","cfop_81"
"cfop_87","1650","ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO DE PETRÓLEO E LUBRIFICANTES",,,"input","cfop_1"
"cfop_88","1651","Compra de combustível ou lubrificante para industrialização subseqüente",,"Classificam-se neste código as compras de combustíveis ou lubrificantes a serem utilizados em processo de industrialização do próprio produto.","input","cfop_87"
"cfop_89","1652","Compra de combustível ou lubrificante para comercialização",,"Classificam-se neste código as compras de combustíveis ou lubrificantes a serem comercializados.","input","cfop_87"
"cfop_90","1653","Compra de combustível ou lubrificante por consumidor ou usuário final",,"Classificam-se neste código as compras de combustíveis ou lubrificantes a serem consumidos em processo de industrialização de outros produtos, na produção rural, na prestação de serviços ou por usuário final.","input","cfop_87"
"cfop_91","1654","Retorno de combustível ou lubrificante remetido para armazenagem",,"Classificam-se neste código as entradas, ainda que simbólicas, por retorno de combustíveis ou lubrificantes, remetidos para armazenagem.","input","cfop_87"
"cfop_92","1900","OUTRAS ENTRADAS DE MERCADORIAS OU AQUISIÇÕES DE SERVIÇOS",,,"input","cfop_1"
"cfop_93","1901","Entrada para industrialização por encomenda",,"Classificam-se neste código as entradas de insumos recebidos para industrialização por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.","input","cfop_92"
"cfop_94","1902","Retorno de mercadoria remetida para industrialização por encomenda",,"Classificam-se neste código o retorno dos insumos remetidos para industrialização por encomenda, incorporados ao produto final pelo estabelecimento industrializador.","input","cfop_92"
"cfop_95","1903","Entrada de mercadoria remetida para industrialização e não aplicada no referido processo",,"Classificam-se neste código as entradas em devolução de insumos remetidos para industrialização e não aplicados no referido processo.","input","cfop_92"
"cfop_96","1904","Retorno de remessa para venda fora do estabelecimento",,"Classificam-se neste código as entradas em retorno de mercadorias remetidas para venda fora do estabelecimento, inclusive por meio de veículos, e não comercializadas.","input","cfop_92"
"cfop_97","1905","Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral",,"Classificam-se neste código as entradas de mercadorias recebidas para depósito em depósito fechado ou armazém geral.","input","cfop_92"
"cfop_98","1906","Retorno de mercadoria remetida para depósito fechado ou armazém geral",,"Classificam-se neste código as entradas em retorno de mercadorias remetidas para depósito em depósito fechado ou armazém geral.","input","cfop_92"
"cfop_99","1907","Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral",,"Classificam-se neste código as entradas em retorno simbólico de mercadorias remetidas para depósito em depósito fechado ou armazém geral, quando as mercadorias depositadas tenham sido objeto de saída a qualquer título e que não tenham retornado ao estabelecimento depositante.","input","cfop_92"
"cfop_100","1908","Entrada de bem por conta de contrato de comodato",,"Classificam-se neste código as entradas de bens recebidos em cumprimento de contrato de comodato.","input","cfop_92"
"cfop_101","1909","Retorno de bem remetido por conta de contrato de comodato",,"Classificam-se neste código as entradas de bens recebidos em devolução após cumprido o contrato de comodato.","input","cfop_92"
"cfop_102","1910","Entrada de bonificação, doação ou brinde",,"Classificam-se neste código as entradas de mercadorias recebidas a título de bonificação, doação ou brinde.","input","cfop_92"
"cfop_103","1911","Entrada de amostra grátis",,"Classificam-se neste código as entradas de mercadorias recebidas a título de amostra grátis.","input","cfop_92"
"cfop_104","1912","Entrada de mercadoria ou bem recebido para demonstração",,"Classificam-se neste código as entradas de mercadorias ou bens recebidos para demonstração.","input","cfop_92"
"cfop_105","1913","Retorno de mercadoria ou bem remetido para demonstração",,"Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para demonstração.","input","cfop_92"
"cfop_106","1914","Retorno de mercadoria ou bem remetido para exposição ou feira",,"Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para exposição ou feira.","input","cfop_92"
"cfop_107","1915","Entrada de mercadoria ou bem recebido para conserto ou reparo",,"Classificam-se neste código as entradas de mercadorias ou bens recebidos para conserto ou reparo.","input","cfop_92"
"cfop_108","1916","Retorno de mercadoria ou bem remetido para conserto ou reparo",,"Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para conserto ou reparo.","input","cfop_92"
"cfop_109","1917","Entrada de mercadoria recebida em consignação mercantil ou industrial",,"Classificam-se neste código as entradas de mercadorias recebidas a título de consignação mercantil ou industrial.","input","cfop_92"
"cfop_110","1918","Devolução de mercadoria remetida em consignação mercantil ou industrial",,"Classificam-se neste código as entradas por devolução de mercadorias remetidas anteriormente a título de consignação mercantil ou industrial.","input","cfop_92"
"cfop_111","1919","Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial",,"Classificam-se neste código as entradas por devolução simbólica de mercadorias vendidas ou utilizadas em processo industrial, remetidas anteriormente a título de consignação mercantil ou industrial.","input","cfop_92"
"cfop_112","1922","Entrada de vasilhame ou sacaria",,"Classificam-se neste código as entradas de vasilhame ou sacaria.","input","cfop_92"
"cfop_113","1923","Entrada de mercadoria recebida do vendedor remetente, em venda à ordem",,"Classificam-se neste código as entradas de mercadorias recebidas do vendedor remetente, em vendas à ordem, cuja compra do adquirente originário, foi classificada nos códigos 1.120 - Compra para industrialização, em venda à ordem, já recebida do vendedor remetente ou 1.121 - Compra para comercialização, em venda à ordem, já recebida do vendedor remetente.","input","cfop_92"
"cfop_114","1924","Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente",,"Classificam-se neste código as entradas de insumos recebidos para serem industrializados por conta e ordem do adquirente, nas hipóteses em que os insumos não tenham transitado pelo estabelecimento do adquirente dos mesmos.","input","cfop_92"
"cfop_115","1925","Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente",,"Classificam-se neste código o retorno dos insumos remetidos por conta e ordem do adquirente, para industrialização e incorporados ao produto final pelo estabelecimento industrializador, nas hipóteses em que os insumos não tenham transitado pelo estabelecimento do adquirente.","input","cfop_92"
"cfop_116","1926","Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação",,"Classificam-se neste código os registros efetuados a título de reclassificação decorrente de formação de kit de mercadorias ou de sua desagregação.","input","cfop_92"
"cfop_117","1931","Lanç. efetuado pelo tomador do serviço de transporte quando a resp. de retenção do imposto for atribuída ao remetente ou alienante da merc., pelo serviço de transp. realizado por transp. autônomo ou por transp. não inscrito na UF onde iniciado o serviço",,"Classificam-se neste código exclusivamente os lançamentos efetuados pelo tomador do serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na unidade da Federação, onde iniciado o serviço, quando a responsabilidade pela retenção do imposto for atribuída ao remetente ou alienante da mercadoria.","input","cfop_92"
