id,code_prefix_start,name,parent_id
coa_simple_22202,2.2.2.02,Tributos Diferidos,coa_simple_222
coa_simple_223,2.2.3,Outras Obrigações de LP,coa_simple_22
coa_simple_22301,2.2.3.01,Obrigações com Partes Relacionadas,coa_simple_223
coa_simple_23,2.3,Patrimônio Líquido,coa_simple_2
coa_simple_231,2.3.1,Capital Social Integralizado,coa_simple_23
coa_simple_23101,2.3.1.01,Capital Social Subscrito,coa_simple_231
coa_simple_28102,2.8.1.02,Capital Social a Integralizar,coa_simple_2
coa_simple_282,2.8.2,Reservas de Capital,coa_simple_2
coa_simple_28201,2.8.2.01,Adiantamento de Capital,coa_simple_282
coa_simple_283,2.8.3,Reservas de Lucro,coa_simple_2
coa_simple_28301,2.8.3.01,Lucros a Distribuir,coa_simple_283
coa_simple_288,2.8.8,Resultados Acumulados,coa_simple_2
coa_simple_28801,2.8.8.01,Lucros Acumulados,coa_simple_288
coa_simple_28802,2.8.8.02,Prejuízos Acumulados,coa_simple_288
coa_simple_3,3,Resultado,
coa_simple_31,3.1,RECEITAS,coa_simple_3
coa_simple_311,3.1.1,RECEITA BRUTA,coa_simple_31
coa_simple_31101,3.1.1.01,RECEITA BRUTA OPERACIONAL,coa_simple_311
coa_simple_312,3.1.2,DEDUÇÕES DA RECEITA BRUTA,coa_simple_31
coa_simple_31201,3.1.2.01,IMPOSTOS S/ FATURAMENTO,coa_simple_312
coa_simple_31202,3.1.2.02,OUTRAS DEDUÇÕES DA RECEITA BRUTA,coa_simple_312
coa_simple_32,3.2,Custos,coa_simple_3
coa_simple_321,3.2.1,Custos dos bens e serviços,coa_simple_32
coa_simple_32101,3.2.1.01,Custos dos bens e serviços vendidos,coa_simple_321
coa_simple_33,3.3,Despesas Operacionais,coa_simple_3
coa_simple_331,3.3.1,Despesas com Vendas,coa_simple_33
coa_simple_33101,3.3.1.01,Despesas com Pessoal,coa_simple_331
coa_simple_33102,3.3.1.02,Outras Despesas com Vendas,coa_simple_331
coa_simple_332,3.3.2,Despesas Administrativas,coa_simple_33
coa_simple_33201,3.3.2.01,Despesas com Pessoal,coa_simple_332
coa_simple_33202,3.3.2.02,Despesas Gerais,coa_simple_332
coa_simple_33203,3.3.2.03,Tributos e Contribuições,coa_simple_332
coa_simple_339,3.3.9,Outros Resultados Operacionais,coa_simple_33
coa_simple_33901,3.3.9.01,Ganhos e Perdas de Capital,coa_simple_339
coa_simple_33902,3.3.9.02,Perdas,coa_simple_339
coa_simple_33903,3.3.9.03,Resultado de Participação em Outras Sociedades,coa_simple_339
coa_simple_34,3.4,Resultado Financeiro,coa_simple_3
coa_simple_341,3.4.1,Encargos Financeiros Líquidos,coa_simple_34
coa_simple_34101,3.4.1.01,Despesas Financeiras,coa_simple_341
coa_simple_34102,3.4.1.02,Receitas Financeiras,coa_simple_341
coa_simple_38,3.8,Provisão de Impostos,coa_simple_3
coa_simple_381,3.8.1,Tributos sobre Lucro,coa_simple_38
coa_simple_38101,3.8.1.01,Impostos,coa_simple_381
