id,code,name,ncms,ncm_exception,not_in_ncms,piscofins_type,tax_pis_id:id,tax_pis_st_id:id,tax_cofins_id:id,tax_cofins_st_id:id,sped_table,date_start,date_end
tax_piscofins_4310_301,301,"Veículos Automotores e Máquinas Agrícolas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se aos produtos autopropulsados ou não.","7309,731029,76129012,842481,8429,84306990,8432,8433,8434,8435,8436,8437,8701,8702,8703,8704,8705,8706,87162000",,,product,tax_pis_monofasico_2_00,,tax_cofins_monofasico_9_60,,4.3.10,2014-05-14,
tax_piscofins_4310_302,302,"Autopeças - Vendas para Atacadistas, Varejistas e Consumidores",10485,,,product,tax_pis_monofasico_2_30,,tax_cofins_monofasico_10_80,,4.3.10,2011-01-01,
tax_piscofins_4310_303,303,Autopeças - Vendas para Fabricantes de Veículos e Máquinas e de Autopeças,10485,,,product,tax_pis_monofasico_1_65,,tax_cofins_monofasico_7_60,,4.3.10,2011-01-01,
tax_piscofins_4310_304,304,Pneumáticos (Pneus Novos e Câmaras-de-Ar),"4011,4013",,,product,tax_pis_monofasico_2_00,,tax_cofins_monofasico_9_50,,4.3.10,2011-01-01,
tax_piscofins_4310_411,411,"Preparações compostas, não alcoólicas (extratos concentrados ou sabores concentrados), para elaboração de bebida refrigerante do Capítulo 22, com capacidade de diluição de até 10 partes da bebida para cada parte do concentrado – Volume de embalagem até 500 ml.   Vendas a PJ varejista ou consumidor final",21069010_02,,,product,tax_pis_monofasico_1_86,,tax_cofins_monofasico_8_54,,4.3.10,2018-01-01,
tax_piscofins_4310_412,412,"Preparações compostas, não alcoólicas (extratos concentrados ou sabores concentrados), para elaboração de bebida refrigerante do Capítulo 22, com capacidade de diluição de até 10 partes da bebida para cada parte do concentrado – Volume de embalagem acima de 500 ml.   Vendas a PJ varejista ou consumidor final",21069010_02,,,product,tax_pis_monofasico_1_86,,tax_cofins_monofasico_8_54,,4.3.10,2018-01-01,
tax_piscofins_4310_413,413,"Preparações compostas, não alcoólicas (extratos concentrados ou sabores concentrados), para elaboração de bebida refrigerante do Capítulo 22, com capacidade de diluição de até 10 partes da bebida para cada parte do concentrado – Volume de embalagem até 500 ml.   Vendas às demais pessoas jurídicas",21069010_02,,,product,tax_pis_monofasico_2_32,,tax_cofins_monofasico_10_68,,4.3.10,2018-01-01,
tax_piscofins_4310_414,414,"Preparações compostas, não alcoólicas (extratos concentrados ou sabores concentrados), para elaboração de bebida refrigerante do Capítulo 22, com capacidade de diluição de até 10 partes da bebida para cada parte do concentrado – Volume de embalagem acima de 500 ml.   Vendas às demais pessoas jurídicas",21069010_02,,,product,tax_pis_monofasico_2_32,,tax_cofins_monofasico_10_68,,4.3.10,2018-01-01,
tax_piscofins_4310_415,415,"Águas, incluindo as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas – Volume de embalagem até 500 ml.  Vendas a PJ varejista ou consumidor final",2201,,22011000,product,tax_pis_monofasico_1_86,,tax_cofins_monofasico_8_54,,4.3.10,2018-01-01,
tax_piscofins_4310_416,416,"Águas, incluindo as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas – Volume de embalagem acima de 500 ml.  Vendas a PJ varejista ou consumidor final",2201,,22011000,product,tax_pis_monofasico_1_86,,tax_cofins_monofasico_8_54,,4.3.10,2018-01-01,
tax_piscofins_4310_417,417,"Águas, incluindo as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas – Volume de embalagem até 500 ml.  Vendas às demais pessoas jurídicas",2201,,22011000,product,tax_pis_monofasico_2_32,,tax_cofins_monofasico_10_68,,4.3.10,2018-01-01,
tax_piscofins_4310_418,418,"Águas, incluindo as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas – Volume de embalagem acima de 500 ml.  Vendas às demais pessoas jurídicas",2201,,22011000,product,tax_pis_monofasico_2_32,,tax_cofins_monofasico_10_68,,4.3.10,2018-01-01,
tax_piscofins_4310_419,419,"Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas e outras bebidas não alcoólicas, exceto sucos (sumos) de frutas ou de produtos hortícolas, da posição 20.09 – Volume de embalagem até 500 ml.  Vendas a PJ varejista ou consumidor final",2202,,22029000,product,tax_pis_monofasico_1_86,,tax_cofins_monofasico_8_54,,4.3.10,2018-01-01,
tax_piscofins_4310_420,420,"Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas e outras bebidas não alcoólicas, exceto sucos (sumos) de frutas ou de produtos hortícolas, da posição 20.09 – Volume de embalagem acima de 500 ml.  Vendas a PJ varejista ou consumidor final",2202,,22029000,product,tax_pis_monofasico_1_86,,tax_cofins_monofasico_8_54,,4.3.10,2018-01-01,
tax_piscofins_4310_421,421,"Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas e outras bebidas não alcoólicas, exceto sucos (sumos) de frutas ou de produtos hortícolas, da posição 20.09 – Volume de embalagem até 500 ml.  Vendas às demais pessoas jurídicas",2202,,22029000,product,tax_pis_monofasico_2_32,,tax_cofins_monofasico_10_68,,4.3.10,2018-01-01,
tax_piscofins_4310_422,422,"Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas e outras bebidas não alcoólicas, exceto sucos (sumos) de frutas ou de produtos hortícolas, da posição 20.09 – Volume de embalagem acima de 500 ml.  Vendas às demais pessoas jurídicas",2202,,22029000,product,tax_pis_monofasico_2_32,,tax_cofins_monofasico_10_68,,4.3.10,2018-01-01,
tax_piscofins_4310_423,423,Cervejas de malte – Volume de embalagem até 400 ml.  Vendas a PJ varejista ou consumidor final,2203,,,product,tax_pis_monofasico_1_86,,tax_cofins_monofasico_8_54,,4.3.10,2018-01-01,
tax_piscofins_4310_424,424,Cervejas de malte – Volume de embalagem acima de 400 ml.  Vendas a PJ varejista ou consumidor final,2203,,,product,tax_pis_monofasico_1_86,,tax_cofins_monofasico_8_54,,4.3.10,2018-01-01,
tax_piscofins_4310_425,425,Cervejas de malte – Volume de embalagem até 400 ml.  Vendas às demais pessoas jurídicas,2203,,,product,tax_pis_monofasico_2_32,,tax_cofins_monofasico_10_68,,4.3.10,2018-01-01,
tax_piscofins_4310_426,426,Cervejas de malte – Volume de embalagem acima de 400 ml.  Vendas às demais pessoas jurídicas,2203,,,product,tax_pis_monofasico_2_32,,tax_cofins_monofasico_10_68,,4.3.10,2018-01-01,
tax_piscofins_4310_427,427,"Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml.  Vendas às pessoas jurídicas em geral (não varejistas)","22029000_03,2203",,,product,tax_pis_monofasico_1_86,,tax_cofins_monofasico_8_54,,4.3.10,2018-01-01,
tax_piscofins_4310_428,428,"Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml.  Vendas às pessoas jurídicas em geral (não varejistas)","22029000_03,2203",,,product,tax_pis_monofasico_1_86,,tax_cofins_monofasico_8_54,,4.3.10,2018-01-01,
tax_piscofins_4310_429,429,"Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml.  Vendas às pessoas jurídicas em geral (não varejistas)","22029000_03,2203",,,product,tax_pis_monofasico_2_09,,tax_cofins_monofasico_9_61,,4.3.10,2018-01-01,
tax_piscofins_4310_430,430,"Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml.  Vendas às pessoas jurídicas em geral (não varejistas)","22029000_03,2203",,,product,tax_pis_monofasico_2_09,,tax_cofins_monofasico_9_61,,4.3.10,2018-01-01,
tax_piscofins_4310_431,431,"Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml.  Vendas às pessoas jurídicas varejistas ou consumidor final","22029000_03,2203",,,product,tax_pis_monofasico_1_49,,tax_cofins_monofasico_6_83,,4.3.10,2018-01-01,
tax_piscofins_4310_432,432,"Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml.  Vendas às pessoas jurídicas varejistas ou consumidor final","22029000_03,2203",,,product,tax_pis_monofasico_1_49,,tax_cofins_monofasico_6_83,,4.3.10,2018-01-01,
tax_piscofins_4310_433,433,"Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml.  Vendas às pessoas jurídicas varejistas ou consumidor final","22029000_03,2203",,,product,tax_pis_monofasico_1_67,,tax_cofins_monofasico_7_69,,4.3.10,2018-01-01,
tax_piscofins_4310_434,434,"Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml.  Vendas às pessoas jurídicas varejistas ou consumidor final","22029000_03,2203",,,product,tax_pis_monofasico_1_67,,tax_cofins_monofasico_7_69,,4.3.10,2018-01-01,
tax_piscofins_4311_101,101,"Gasolinas, Exceto Gasolina de Aviação",27101259,,,product,tax_pis_value_141_10,,tax_cofins_value_651_40,,4.3.11,2023-06-29,
tax_piscofins_4311_103,103,"Gás Liqüefeito de Petróleo – GLP, quando NÃO destinado ao uso doméstico e envasado em recipientes de até treze quilogramas***",27111910,,,product,tax_pis_value_29_85,,tax_cofins_value_137_85,,4.3.11,2021-03-01,
tax_piscofins_4311_105,105,Correntes Destinadas à Formulação de Gasolinas,,,,product,tax_pis_value_141_10,,tax_cofins_value_651_40,,4.3.11,2023-06-29,
tax_piscofins_4311_106,106,Correntes Destinadas Exclusivamente à Formulação de Óleo Diesel****,,,,product,tax_pis_value_62_61,,tax_cofins_value_288_89,,4.3.11,2024-01-01,
tax_piscofins_4311_107,107,Nafta Petroquímica Destinada à Formulação de Gasolina ou de Óleo Diesel,,,,product,tax_pis_value_46_58,,tax_cofins_value_215_02,,4.3.11,2011-01-01,
tax_piscofins_4311_108,108,Nafta Petroquímica Destinada à Formulação Exclusivamente de Óleo Diesel,,,,product,tax_pis_value_26_36,,tax_cofins_value_121_64,,4.3.11,2011-01-01,
tax_piscofins_4311_112,112,"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador","22089000_01,220710,2207201",,,product,tax_pis_value_34_33,,tax_cofins_value_157_87,,4.3.11,2025-05-01,
tax_piscofins_4311_611,611,Refrigerantes PET Descartável Até 350 ml,22021000,,,product,tax_pis_value_0_0341,,tax_cofins_value_0_157,,4.3.11,2015-05-01,
tax_piscofins_4311_612,612,Refrigerantes PET Descartável De 351 a 600 ml,22021000,,,product,tax_pis_value_0_0292,,tax_cofins_value_0_1346,,4.3.11,2015-05-01,
tax_piscofins_4311_613,613,Refrigerantes PET Descartável De 601 a 1.000 ml,22021000,,,product,tax_pis_value_0_0211,,tax_cofins_value_0_0972,,4.3.11,2015-05-01,
tax_piscofins_4311_614,614,Refrigerantes PET Descartável De 1.001 a 1.500 ml,22021000,,,product,tax_pis_value_0_0186,,tax_cofins_value_0_0854,,4.3.11,2015-05-01,
tax_piscofins_4311_615,615,Refrigerantes PET Descartável De 1.501 a 2.200 ml,22021000,,,product,tax_pis_value_0_0174,,tax_cofins_value_0_0801,,4.3.11,2015-05-01,
tax_piscofins_4311_616,616,Refrigerantes PET Descartável Acima de 2.200 ml,22021000,,,product,tax_pis_value_0_0226,,tax_cofins_value_0_1041,,4.3.11,2015-05-01,
tax_piscofins_4311_617,617,Refrigerantes PET Retornável Todas,22021000,,,product,tax_pis_value_0_0253,,tax_cofins_value_0_1164,,4.3.11,2015-05-01,
tax_piscofins_4311_618,618,Refrigerantes Vidro Até 350 ml,22021000,,,product,tax_pis_value_0_0223,,tax_cofins_value_0_1026,,4.3.11,2015-05-01,
tax_piscofins_4311_619,619,Refrigerantes Vidro De 351 a 600 ml,22021000,,,product,tax_pis_value_0_0125,,tax_cofins_value_0_0578,,4.3.11,2015-05-01,
tax_piscofins_4311_620,620,Refrigerantes Vidro Acima de 600 ml,22021000,,,product,tax_pis_value_0_0122,,tax_cofins_value_0_0563,,4.3.11,2015-05-01,
tax_piscofins_4311_621,621,Refrigerantes Lata Até 350 ml,22021000,,,product,tax_pis_value_0_0338,,tax_cofins_value_0_1555,,4.3.11,2015-05-01,
tax_piscofins_4311_631,631,Chá PET Descartável Até 500 ml,22021000,,,product,tax_pis_value_0_0536,,tax_cofins_value_0_2467,,4.3.11,2015-05-01,
tax_piscofins_4311_632,632,Chá PET Descartável Acima de 500 ml,22021000,,,product,tax_pis_value_0_0243,,tax_cofins_value_0_112,,4.3.11,2015-05-01,
tax_piscofins_4311_633,633,Chá Copo Descartável Todas,22021000,,,product,tax_pis_value_0_0464,,tax_cofins_value_0_2136,,4.3.11,2015-05-01,
tax_piscofins_4311_641,641,Refrescos Todas Todas,22021000_01,,,product,tax_pis_value_0_0177,,tax_cofins_value_0_0815,,4.3.11,2015-05-01,
tax_piscofins_4311_651,651,Isotônico Todas Todas,22029000_04,,,product,tax_pis_value_0_0177,,tax_cofins_value_0_0815,,4.3.11,2015-05-01,
tax_piscofins_4311_661,661,Energético PET Até 350 ml,22029000_05,,,product,tax_pis_value_0_0909,,tax_cofins_value_0_4187,,4.3.11,2015-05-01,
tax_piscofins_4311_662,662,Energético PET De 351 a 600 ml,22029000_05,,,product,tax_pis_value_0_065,,tax_cofins_value_0_299,,4.3.11,2015-05-01,
tax_piscofins_4311_663,663,Energético PET De 601 a 1.000 ml,22029000_05,,,product,tax_pis_value_0_0568,,tax_cofins_value_0_2617,,4.3.11,2015-05-01,
tax_piscofins_4311_664,664,Energético PET De 1.001 a 1.500 ml,22029000_05,,,product,tax_pis_value_0_0503,,tax_cofins_value_0_2318,,4.3.11,2015-05-01,
tax_piscofins_4311_665,665,Energético PET Acima de 1.500 ml,22029000_05,,,product,tax_pis_value_0_0455,,tax_cofins_value_0_2093,,4.3.11,2015-05-01,
tax_piscofins_4311_666,666,Energético Lata Até 350 ml,22029000_05,,,product,tax_pis_value_0_1104,,tax_cofins_value_0_5084,,4.3.11,2015-05-01,
tax_piscofins_4311_667,667,Energético Lata De 351 a 500 ml,22029000_05,,,product,tax_pis_value_0_0763,,tax_cofins_value_0_3514,,4.3.11,2015-05-01,
tax_piscofins_4311_668,668,Energético Lata Acima de 500 ml,22029000_05,,,product,tax_pis_value_0_0715,,tax_cofins_value_0_3289,,4.3.11,2015-05-01,
tax_piscofins_4311_671,671,Cerveja Retornável,22030000,,,product,tax_pis_value_0_0348,,tax_cofins_value_0_1602,,4.3.11,2015-05-01,
tax_piscofins_4311_672,672,Cerveja Descartável,22030000,,,product,tax_pis_value_0_0371,,tax_cofins_value_0_1709,,4.3.11,2015-05-01,
tax_piscofins_4311_681,681,Chopp Todas Todas,22030000_01,,,product,tax_pis_value_0_0348,,tax_cofins_value_0_1602,,4.3.11,2015-05-01,
tax_piscofins_4311_821,821,"Águas Minerais Naturais Envasadas em Embalagens de Capacidade até 9,999 Litros",22011000_01,,,product,tax_pis_value_0_00,,tax_cofins_value_0_00,,4.3.11,2012-09-18,
tax_piscofins_4311_822,822,Águas Minerais Naturais Envasadas em Embalagens de Capacidade Igual ou Superior a 10 Litros,22011000_02,,,product,tax_pis_value_0_00,,tax_cofins_value_0_00,,4.3.11,2012-09-18,
tax_piscofins_4312_101,101,"Cigarros, de fumo (tabaco) ou dos seus sucedâneos",2402,,,product,tax_pis_st0_65,,tax_cofins_st3_00,,4.3.12,2011-01-01,
tax_piscofins_4312_102,102,Cigarrilhas,24021000,,,product,tax_pis_st0_65,,tax_cofins_st3_00,,4.3.12,2011-08-01,
tax_piscofins_4312_201,201,"Motocicletas (incluídos os ciclomotores) e outros ciclos equipados com motor auxiliar, mesmo com carro lateral; carros laterais",8711,,,product,tax_pis_st0_65,,tax_cofins_st3_00,,4.3.12,2011-01-01,
tax_piscofins_4312_301,301,"Semeadores, plantadores e transplantadores dos códigos 8432.30 da TIPI",843230,,,product,tax_pis_st0_65,,tax_cofins_st3_00,,4.3.12,2011-01-01,
tax_piscofins_4313_101,101,"Adubos ou fertilizantes classificados no Capítulo 31, exceto os produtos de uso veterinário, da TIPI, e suas matérias-primas",,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_102,102,Defensivos agropecuários classificados na posição 38.08 da TIPI e suas matérias-primas,3808,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_103,103,"Sementes e mudas destinadas à semeadura e plantio, em conformidade com o disposto na Lei no 10.711/03, e produtos de natureza biológica utilizados em sua produção",,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_104,104,Corretivo de solo de origem mineral classificado no Capítulo 25 da TIPI,,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_105,105,"Legumes de vagem, secos, em grão, mesmo pelados ou partidos; arroz; farinhas e sêmolas","07133319,07133329,07133399,100620,100630,110620",,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_106,106,"Inoculantes agrícolas produzidos a partir de bactérias fixadoras de nitrogênio, classificados no código 3002.90.99 da TIPI",30029099,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_107,107,Vacinas para medicina veterinária,300230,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_108,108,"Farinha, grumos e sêmolas, grãos esmagados ou em flocos, de milho, classificados, respectivamente, nos códigos 1102.20, 1103.13 e 1104.19, todos da TIPI","110220,110313,110419",,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_109,109,Pintos de 1 (um) dia,010511,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_110,110,"Leite fluido pasteurizado ou industrializado, na forma de ultrapasteurizado, leite em pó, integral, semidesnatado ou desnatado, leite fermentado, bebidas e compostos lácteos e fórmulas infantis, assim definidas conforme previsão legal específica, destinados ao consumo humano ou utilizados na industrialização de produtos que se destinam ao consumo humano",,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_111,111,"Queijos tipo mozarela, minas, prato, queijo de coalho, ricota, requeijão, queijo provolone, queijo parmesão e queijo fresco não maturado.",,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_112,112,Soro de leite fluido a ser empregado na industrialização de produtos destinados ao consumo humano,,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_113,113,Farinha de trigo,11010010,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_114,114,Trigo,1001,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_115,115,Pré-misturas próprias para fabricação de pão comum e pão comum,"19012000_01,19059090_01",,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_116,116,Produtos hortícolas e frutas,,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_117,117,Ovos,0407,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_118,118,Venda de semens e embriões,"05111000,05119910,05119920",,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
tax_piscofins_4313_119,119,Massas alimentícias classificadas na posição 19.02 da TIPI.,"19021100,19021900,19022000,19023000",,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-12-02,
tax_piscofins_4313_120,120,Queijo do reino,,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2012-05-31,
tax_piscofins_4313_121,121,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal classificados nos seguintes códigos da TIPI: a) 02.01, 02.02, 0206.10.00, 0206.2, 0210.20.00, 0506.90.00, 0510.00.10 e 1502.10.1; b) 02.03, 0206.30.00, 0206.4, 02.07, 02.09 e 0210.1 e carne de frango classificada no código 0210.99.00; e c) 02.04 e miudezas comestíveis de ovinos e caprinos classificadas no código 0206.80.00;","0201,0202,02061000,02062,02102000,05069000,05100010,1502101,0203,0204,02063000,02064,0207,0209,02101",,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2013-03-08,
tax_piscofins_4313_122,122,Peixes e outros produtos classificados nos seguintes códigos da TIPI:,0302,,"03029000,0303,0304",product,tax_pis_0,,tax_cofins_0,,4.3.13,2013-03-08,
tax_piscofins_4313_123,123,Café classificado nos códigos 09.01 e 2101.1 da TIPI,"0901,21011",,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2013-03-08,
tax_piscofins_4313_124,124,Açúcar classificado nos códigos 1701.14.00 e 1701.99.00 da TIPI,"17011400,17019900",,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2013-03-08,
tax_piscofins_4313_125,125,Óleo de soja classificado na posição 15.07 da TIPI e outros óleos vegetais classificados nas posições 15.08 a 15.14 da TIPI,"1507,1508,1514",,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2013-03-08,
tax_piscofins_4313_126,126,Manteiga classificada no código 0405.10.00 da TIPI,04051000,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2013-03-08,
tax_piscofins_4313_127,127,Margarina classificada no código 1517.10.00,15171000,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2013-03-08,
tax_piscofins_4313_128,128,Sabões de toucador classificados no código 3401.11.90 Ex 01 da TIPI,34011190_01,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2013-03-08,
tax_piscofins_4313_129,129,Produtos para higiene bucal ou dentária classificados na posição 33.06 da TIPI,3306,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2013-03-08,
tax_piscofins_4313_130,130,Papel higiênico classificado no código 4818.10.00 da TIPI,48181000,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2013-03-08,
tax_piscofins_4313_201,201,Aeronaves classificadas na posição 88.02 da TIPI,8802,,,product,tax_pis_0,,tax_cofins_0,,4.3.13,2011-01-01,
