"id","code","name","cst_type","tax_domain"
"cst_pis_50","50","Operação com Direito a Crédito - Vinculada Exclusivamente a Receita Tributada no Mercado Interno","in","pis"
"cst_pis_51","51","Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Não Tributada no Mercado Interno","in","pis"
"cst_pis_52","52","Operação com Direito a Crédito - Vinculada Exclusivamente a Receita de Exportação","in","pis"
"cst_pis_53","53","Operação com Direito a Crédito - Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno","in","pis"
"cst_pis_54","54","Operação com Direito a Crédito - Vinculada a Receitas Tributadas no Mercado Interno e de Exportação","in","pis"
"cst_pis_55","55","Operação com Direito a Crédito - Vinculada a Receitas Não-Tributadas no Mercado Interno e de Exportação","in","pis"
"cst_pis_56","56","Operação com Direito a Crédito - Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno, e de Exportação","in","pis"
"cst_pis_60","60","Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita Tributada no Mercado Interno","in","pis"
"cst_pis_61","61","Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita Não-Tributada no Mercado Interno","in","pis"
"cst_pis_62","62","Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita de Exportação","in","pis"
"cst_pis_63","63","Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno","in","pis"
"cst_pis_64","64","Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas no Mercado Interno e de Exportação","in","pis"
"cst_pis_65","65","Crédito Presumido - Operação de Aquisição Vinculada a Receitas Não-Tributadas no Mercado Interno e de Exportação","in","pis"
"cst_pis_66","66","Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno, e de Exportação","in","pis"
"cst_pis_67","67","Crédito Presumido - Outras Operações","in","pis"
"cst_pis_70","70","Operação de Aquisição sem Direito a Crédito","in","pis"
"cst_pis_71","71","Operação de Aquisição com Isenção","in","pis"
"cst_pis_72","72","Operação de Aquisição com Suspensão","in","pis"
"cst_pis_73","73","Operação de Aquisição a Alíquota Zero","in","pis"
"cst_pis_74","74","Operação de Aquisição sem Incidência da Contribuição","in","pis"
"cst_pis_75","75","Operação de Aquisição por Substituição Tributária","in","pis"
"cst_pis_98","98","Outras Operações de Entrada","in","pis"
"cst_pis_99","99","Outras Operações","out","pis"
"cst_cofins_01","01","Operação Tributável com Alíquota Básica","out","cofins"
"cst_cofins_02","02","Operação Tributável com Alíquota Diferenciada","out","cofins"
"cst_cofins_03","03","Operação Tributável com Alíquota por Unidade de Medida de Produto","out","cofins"
"cst_cofins_04","04","Operação Tributável Monofásica - Revenda a Alíquota Zero","out","cofins"
"cst_cofins_05","05","Operação Tributável por Substituição Tributária","out","cofins"
"cst_cofins_06","06","Operação Tributável a Alíquota zero","out","cofins"
"cst_cofins_07","07","Operação Isenta da Contribuição","out","cofins"
"cst_cofins_08","08","Operação sem Incidência da Contribuição","out","cofins"
"cst_cofins_09","09","Operação com Suspensão da Contribuição","out","cofins"
"cst_cofins_49","49","Outras Operações de Saída","out","cofins"
"cst_cofins_50","50","Operação com Direito a Crédito - Vinculada Exclusivamente a Receita Tributada no Mercado Interno","in","cofins"
"cst_cofins_51","51","Operação com Direito a Crédito - Vinculada Exclusivamente a Receita Não-Tributada no Mercado Interno","in","cofins"
"cst_cofins_52","52","Operação com Direito a Crédito - Vinculada Exclusivamente a Receita de Exportação","in","cofins"
"cst_cofins_53","53","Operação com Direito a Crédito - Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno","in","cofins"
"cst_cofins_54","54","Operação com Direito a Crédito - Vinculada a Receitas Tributadas no Mercado Interno e de Exportação","in","cofins"
"cst_cofins_55","55","Operação com Direito a Crédito - Vinculada a Receitas Não Tributadas no Mercado Interno e de Exportação","in","cofins"
"cst_cofins_56","56","Operação com Direito a Crédito - Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno e de Exportação","in","cofins"
"cst_cofins_60","60","Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita Tributada no Mercado Interno","in","cofins"
"cst_cofins_61","61","Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita Não-Tributada no Mercado Interno","in","cofins"
"cst_cofins_62","62","Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita de Exportação","in","cofins"
"cst_cofins_63","63","Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno","in","cofins"
"cst_cofins_64","64","Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas no Mercado Interno e de Exportação","in","cofins"
"cst_cofins_65","65","Crédito Presumido - Operação de Aquisição Vinculada a Receitas Não-Tributadas no Mercado Interno e de Exportação","in","cofins"
"cst_cofins_66","66","Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno e de Exportação","in","cofins"
"cst_cofins_67","67","Crédito Presumido - Outras Operações","in","cofins"
"cst_cofins_70","70","Operação de Aquisição sem Direito a Crédito","in","cofins"
"cst_cofins_71","71","Operação de Aquisição com Isenção","in","cofins"
"cst_cofins_72","72","Operação de Aquisição com Suspensão","in","cofins"
"cst_cofins_73","73","Operação de Aquisição a Alíquota Zero","in","cofins"
"cst_cofins_74","74","Operação de Aquisição sem Incidência da Contribuição","in","cofins"
"cst_cofins_75","75","Operação de Aquisição por Substituição Tributária","in","cofins"
"cst_cofins_98","98","Outras Operações de Entrada","in","cofins"
"cst_cofins_99","99","Outras Operações","out","cofins"
