"id","code","description","gen_liquidation_move","cnab_structure_id/id"
"cnab_occurrence_CD_itau_240","CD","CNPJ / CPF INFORMADO DIVERGENTE DO CADASTRADO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CE_itau_240","CE","PAGAMENTO CANCELADO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CF_itau_240","CF","VALOR DO DOCUMENTO INVÁLIDO / VALOR DIVERGENTE DO QR CODE",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CG_itau_240","CG","VALOR DO ABATIMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CH_itau_240","CH","VALOR DO DESCONTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CI_itau_240","CI","CNPJ / CPF / IDENTIFICADOR / INSCRIÇÃO ESTADUAL / INSCRIÇÃO NO CAD / ICMS INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CJ_itau_240","CJ","VALOR DA MULTA INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CK_itau_240","CK","TIPO DE INSCRIÇÃO INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CL_itau_240","CL","VALOR DO INSS INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CM_itau_240","CM","VALOR DO COFINS INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CN_itau_240","CN","CONTA NÃO CADASTRADA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CO_itau_240","CO","VALOR DE OUTRAS ENTIDADES INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CP_itau_240","CP","CONFIRMAÇÃO DE OP CUMPRIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CQ_itau_240","CQ","SOMA DAS FATURAS DIFERE DO PAGAMENTO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CR_itau_240","CR","VALOR DO CSLL INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_CS_itau_240","CS","DATA DE VENCIMENTO DA FATURA INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DA_itau_240","DA","NÚMERO DE DEPEND. SALÁRIO FAMILIA INVALIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DB_itau_240","DB","NÚMERO DE HORAS SEMANAIS INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DC_itau_240","DC","SALÁRIO DE CONTRIBUIÇÃO INSS INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DD_itau_240","DD","SALÁRIO DE CONTRIBUIÇÃO FGTS INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DE_itau_240","DE","VALOR TOTAL DOS PROVENTOS INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DF_itau_240","DF","VALOR TOTAL DOS DESCONTOS INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DG_itau_240","DG","VALOR LÍQUIDO NÃO NUMÉRICO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DH_itau_240","DH","VALOR LIQ. INFORMADO DIFERE DO CALCULADO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DI_itau_240","DI","VALOR DO SALÁRIO-BASE INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DJ_itau_240","DJ","BASE DE CÁLCULO IRRF INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DK_itau_240","DK","BASE DE CÁLCULO FGTS INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DL_itau_240","DL","FORMA DE PAGAMENTO INCOMPATÍVEL COM HOLERITE",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DM_itau_240","DM","E-MAIL DO FAVORECIDO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_DV_itau_240","DV","DOC / TED DEVOLVIDO PELO BANCO FAVORECIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_D0_itau_240","D0","FINALIDADE DO HOLERITE INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_D1_itau_240","D1","MÊS DE COMPETENCIA DO HOLERITE INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_D2_itau_240","D2","DIA DA COMPETENCIA DO HOLETITE INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_D3_itau_240","D3","CENTRO DE CUSTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_D4_itau_240","D4","CAMPO NUMÉRICO DA FUNCIONAL INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_D5_itau_240","D5","DATA INÍCIO DE FÉRIAS NÃO NUMÉRICA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_D6_itau_240","D6","DATA INÍCIO DE FÉRIAS INCONSISTENTE",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_D7_itau_240","D7","DATA FIM DE FÉRIAS NÃO NUMÉRICO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_D8_itau_240","D8","DATA FIM DE FÉRIAS INCONSISTENTE",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_D9_itau_240","D9","NÚMERO DE DEPENDENTES IR INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_EM_itau_240","EM","CONFIRMAÇÃO DE OP EMITIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_EX_itau_240","EX","DEVOLUÇÃO DE OP NÃO SACADA PELO FAVORECIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_E0_itau_240","E0","TIPO DE MOVIMENTO HOLERITE INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_E1_itau_240","E1","VALOR 01 DO HOLERITE / INFORME INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_E2_itau_240","E2","VALOR 02 DO HOLERITE / INFORME INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_E3_itau_240","E3","VALOR 03 DO HOLERITE / INFORME INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_E4_itau_240","E4","VALOR 04 DO HOLERITE / INFORME INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_FC_itau_240","FC","PAGAMENTO EFETUADO ATRAVÉS DE FINANCIAMENTO COMPROR","TRUE","l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_FD_itau_240","FD","PAGAMENTO EFETUADO ATRAVÉS DE FINANCIAMENTO DESCOMPROR","TRUE","l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_HÁ_itau_240","HÁ","ERRO NO LOTE",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_HM_itau_240","HM","ERRO NO REGISTRO HEADER DE ARQUIVO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IB_itau_240","IB","VALOR DO DOCUMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IC_itau_240","IC","VALOR DO ABATIMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_ID_itau_240","ID","VALOR DO DESCONTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IE_itau_240","IE","VALOR DA MORA INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IF_itau_240","IF","VALOR DA MULTA INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IG_itau_240","IG","VALOR DA DEDUÇÃO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IH_itau_240","IH","VALOR DO ACRÉSCIMO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_II_itau_240","II","DATA DE VENCIMENTO INVÁLIDA / QR CODE EXPIRADO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IJ_itau_240","IJ","COMPETÊNCIA / PERÍODO REFERÊNCIA / PARCELA INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IK_itau_240","IK","TRIBUTO NÃO LIQUIDÁVEL VIA SISPAG OU NÃO CONVENIADO COM ITAÚ",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IL_itau_240","IL","CÓDIGO DE PAGAMENTO / EMPRESA /RECEITA INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IM_itau_240","IM","TIPO X FORMA NÃO COMPATÍVEL",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IN_itau_240","IN","BANCO/AGÊNCIA NÃO CADASTRADOS",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IO_itau_240","IO","DAC / VALOR / COMPETÊNCIA / IDENTIFICADOR DO LACRE INVÁLIDO / IDENTIFICAÇÃO DO QR CODE INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IP_itau_240","IP","DAC DO CÓDIGO DE BARRAS INVÁLIDO / ERRO NA VALIDAÇÃO DO QR CODE",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IQ_itau_240","IQ","DÍVIDA ATIVA OU NÚMERO DE ETIQUETA INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IR_itau_240","IR","PAGAMENTO ALTERADO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IS_itau_240","IS","CONCESSIONÁRIA NÃO CONVENIADA COM ITAÚ",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IT_itau_240","IT","VALOR DO TRIBUTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IU_itau_240","IU","VALOR DA RECEITA BRUTA ACUMULADA INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IV_itau_240","IV","NÚMERO DO DOCUMENTO ORIGEM / REFERÊNCIA INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_IX_itau_240","IX","CÓDIGO DO PRODUTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_LA_itau_240","LA","DATA DE PAGAMENTO DE UM LOTE ALTERADA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_LC_itau_240","LC","LOTE DE PAGAMENTOS CANCELADO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_NA_itau_240","NA","PAGAMENTO CANCELADO POR FALTA DE AUTORIZAÇÃO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_NB_itau_240","NB","IDENTIFICAÇÃO DO TRIBUTO INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_NC_itau_240","NC","EXERCÍCIO (ANO BASE) INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_ND_itau_240","ND","CÓDIGO RENAVAM NÃO ENCONTRADO/INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_NE_itau_240","NE","UF INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_NF_itau_240","NF","CÓDIGO DO MUNICÍPIO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_NG_itau_240","NG","PLACA INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_NH_itau_240","NH","OPÇÃO/PARCELA DE PAGAMENTO INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_NI_itau_240","NI","TRIBUTO JÁ FOI PAGO OU ESTÁ VENCIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_NR_itau_240","NR","OPERAÇÃO NÃO REALIZADA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_PD_itau_240","PD","AQUISIÇÃO CONFIRMADA (EQUIVALE A OCORRÊNCIA 02 NO LAYOUT DE RISCO SACADO)",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_RJ_itau_240","RJ","REGISTRO REJEITADO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_RS_itau_240","RS","PAGAMENTO DISPONÍVEL PARA ANTECIPAÇÃO NO RISCO SACADO – MODALIDADE RISCO SACADO PÓS AUTORIZADO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_SS_itau_240","SS","PAGAMENTO CANCELADO POR INSUFICIÊNCIA DE SALDO / LIMITE DIÁRIO DE PAGTO EXCEDIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_TA_itau_240","TA","LOTE NÃO ACEITO - TOTAIS DO LOTE COM DIFERENÇA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_TI_itau_240","TI","TITULARIDADE INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_X1_itau_240","X1","FORMA INCOMPATÍVEL COM LAYOUT 010",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_X2_itau_240","X2","NÚMERO DA NOTA FISCAL INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_X3_itau_240","X3","IDENTIFICADOR DE NF/CNPJ INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_X4_itau_240","X4","FORMA 32 INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_00_bb_240","00","PAGAMENTO EFETUADO","TRUE","l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_01_bb_240","01","RETORNO POR DESISTÊNCIA DO SACADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_02_bb_240","02","ENTRADA REJEITADA – AGÊNCIA/CONTA INATIVA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_03_bb_240","03","ENTRADA REJEITADA – AGÊNCIA/CONTA BLOQUEADA JUDICIALMENTE",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_04_bb_240","04","ENTRADA REJEITADA – CEDENTE NÃO PERTENCE AO CONVÊNIO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_05_bb_240","05","ENTRADA REJEITADA – BENEFICIÁRIO NÃO PERTENCE AO CONVÊNIO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_06_bb_240","06","ENTRADA REJEITADA – BENEFICIÁRIO INADIMPLENTE",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_07_bb_240","07","ENTRADA REJEITADA – BENEFICIÁRIO NÃO PERTENCE AO MUNICÍPIO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_08_bb_240","08","ENTRADA REJEITADA – BENEFICIÁRIO NÃO PERTENCE À EMPRESA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_09_bb_240","09","ENTRADA REJEITADA – BENEFICIÁRIO NÃO PERTENCE AO CONVÊNIO DO TIPO INFORMADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_10_bb_240","10","PAGAMENTO EFETUADO COM ATRASO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_11_bb_240","11","PAGAMENTO EFETUADO COM ANTECIPAÇÃO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_12_bb_240","12","PAGAMENTO EFETUADO COM VALOR MAIOR",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_13_bb_240","13","PAGAMENTO EFETUADO COM VALOR MENOR",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_25_bb_240","25","AGÊNCIA/CONTA INATIVA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_26_bb_240","26","AGÊNCIA/CONTA BLOQUEADA JUDICIALMENTE",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_27_bb_240","27","BENEFICIÁRIO NÃO PERTENCE AO CONVÊNIO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_28_bb_240","28","BENEFICIÁRIO INADIMPLENTE",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_29_bb_240","29","BENEFICIÁRIO NÃO PERTENCE AO MUNICÍPIO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_30_bb_240","30","BENEFICIÁRIO NÃO PERTENCE À EMPRESA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_31_bb_240","31","BENEFICIÁRIO NÃO PERTENCE AO CONVÊNIO DO TIPO INFORMADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_32_bb_240","32","BENEFICIÁRIO NÃO POSSUI CONTA NO BB",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_33_bb_240","33","BENEFICIÁRIO POSSUI CONTA INATIVA NO BB",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_34_bb_240","34","BENEFICIÁRIO POSSUI CONTA BLOQUEADA JUDICIALMENTE NO BB",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_35_bb_240","35","BENEFICIÁRIO POSSUI CONTA ENCERRADA NO BB",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_36_bb_240","36","BENEFICIÁRIO POSSUI CONTA COM RESTRIÇÃO DE CRÉDITO NO BB",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_37_bb_240","37","BENEFICIÁRIO POSSUI CONTA COM RESTRIÇÃO DE DÉBITO NO BB",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_38_bb_240","38","BENEFICIÁRIO POSSUI CONTA COM RESTRIÇÃO DE PAGAMENTO NO BB",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_39_bb_240","39","BENEFICIÁRIO POSSUI CONTA COM RESTRIÇÃO DE LIQUIDAÇÃO NO BB",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AE_bb_240","AE","DATA DE PAGAMENTO ALTERADA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AG_bb_240","AG","NÚMERO DO LOTE INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AH_bb_240","AH","NÚMERO SEQUENCIAL DO REGISTRO NO LOTE INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AI_bb_240","AI","PRODUTO NÃO CONTRATADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AJ_bb_240","AJ","TIPO DE MOVIMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AL_bb_240","AL","CÓDIGO DO BANCO FAVORECIDO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AM_bb_240","AM","AGÊNCIA DO FAVORECIDO INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AN_bb_240","AN","CONTA CORRENTE DO FAVORECIDO INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AO_bb_240","AO","NOME DO FAVORECIDO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AP_bb_240","AP","DATA DE PAGAMENTO INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AQ_bb_240","AQ","QUANTIDADE DE REGISTROS MAIOR QUE 999999",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_AR_bb_240","AR","VALOR DO PAGAMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_BC_bb_240","BC","NOSSO NÚMERO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_BD_bb_240","BD","PAGAMENTO AGENDADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_BE_bb_240","BE","PAGAMENTO AGENDADO COM FORMA ALTERADA PARA OP",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_BI_bb_240","BI","CNPJ/CPF DO FAVORECIDO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_BL_bb_240","BL","VALOR DA PARCELA INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CD_bb_240","CD","CNPJ/CPF INFORMADO DIVERGENTE DO CADASTRADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CE_bb_240","CE","PAGAMENTO CANCELADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CF_bb_240","CF","VALOR DO DOCUMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CG_bb_240","CG","VALOR DO ABATIMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CH_bb_240","CH","VALOR DO DESCONTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CI_bb_240","CI","CNPJ/CPF/IDENTIFICADOR INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CJ_bb_240","CJ","VALOR DA MULTA INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CK_bb_240","CK","TIPO DE INSCRIÇÃO INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CL_bb_240","CL","VALOR DO INSS INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CM_bb_240","CM","VALOR DO COFINS INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CN_bb_240","CN","CONTA NÃO CADASTRADA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CO_bb_240","CO","VALOR DE OUTRAS ENTIDADES INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CP_bb_240","CP","CONFIRMAÇÃO DE OP CUMPRIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CQ_bb_240","CQ","SOMA DAS FATURAS DIFERE DO PAGAMENTO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CR_bb_240","CR","VALOR DO CSLL INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_CS_bb_240","CS","DATA DE VENCIMENTO DA FATURA INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DA_bb_240","DA","NÚMERO DE DEPENDENTES SALÁRIO-FAMÍLIA INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DB_bb_240","DB","NÚMERO DE HORAS SEMANAIS INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DC_bb_240","DC","SALÁRIO DE CONTRIBUIÇÃO INSS INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DD_bb_240","DD","SALÁRIO DE CONTRIBUIÇÃO FGTS INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DE_bb_240","DE","VALOR TOTAL DOS PROVENTOS INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DF_bb_240","DF","VALOR TOTAL DOS DESCONTOS INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DG_bb_240","DG","VALOR LÍQUIDO NÃO NUMÉRICO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DH_bb_240","DH","VALOR LÍQUIDO INFORMADO DIFERE DO CALCULADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DI_bb_240","DI","VALOR DO SALÁRIO-BASE INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
