"id","code","name","type","parent_id:id"
"ncm_01051","0105.1","De peso não superior a 185 g:","view","ncm_0105"
"ncm_010511","0105.11","Galos e galinhas","view","ncm_01051"
"ncm_01051110","0105.11.10","De linhas puras ou híbridas, para reprodução","normal","ncm_010511"
"ncm_01051190","0105.11.90","Outros","normal","ncm_010511"
"ncm_01051200","0105.12.00","Peruas e perus","normal","ncm_010511"
"ncm_01051300","0105.13.00","Patos","normal","ncm_010511"
"ncm_01051400","0105.14.00","Gansos","normal","ncm_010511"
"ncm_01051500","0105.15.00","Galinhas-d'angola (pintadas)","normal","ncm_010511"
"ncm_01059","0105.9","Outros:","view","ncm_0105"
"ncm_01059400","0105.94.00","Galos e galinhas","normal","ncm_01059"
"ncm_01059900","0105.99.00","Outros","normal","ncm_01059"
"ncm_0106","01.06","Outros animais vivos.","view",
"ncm_01061","0106.1","Mamíferos:","view","ncm_0106"
"ncm_01061100","0106.11.00","Primatas","normal","ncm_01061"
"ncm_01061200","0106.12.00","Baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)","normal","ncm_01061"
"ncm_01061300","0106.13.00","Camelos e outros camelídeos (Camelidae)","normal","ncm_01061"
"ncm_01061400","0106.14.00","Coelhos e lebres","normal","ncm_01061"
"ncm_01061900","0106.19.00","Outros","normal","ncm_01061"
"ncm_01062000","0106.20.00","Répteis (incluindo as serpentes e as tartarugas marinhas)","normal","ncm_01061"
"ncm_01063","0106.3","Aves:","view","ncm_0106"
"ncm_01063100","0106.31.00","Aves de rapina","normal","ncm_01063"
"ncm_01063200","0106.32.00","Psitaciformes (incluindo os papagaios, os periquitos, as araras e as cacatuas)","normal","ncm_01063"
"ncm_010633","0106.33","Avestruzes; emus (Dromaius novaehollandiae)","view","ncm_01063"
"ncm_01063310","0106.33.10","Avestruzes (Struthio camelus), para reprodução","normal","ncm_010633"
"ncm_01063390","0106.33.90","Outros","normal","ncm_010633"
"ncm_01063900","0106.39.00","Outras","normal","ncm_010633"
"ncm_01064","0106.4","Insetos:","view","ncm_0106"
"ncm_01064100","0106.41.00","Abelhas","normal","ncm_01064"
"ncm_01064900","0106.49.00","Outros","normal","ncm_01064"
"ncm_01069000","0106.90.00","Outros","normal","ncm_0106"
"ncm_2","2","Capítulo 2 – Carnes e miudezas, comestíveis","view",
"ncm_0201","02.01","Carnes de animais da espécie bovina, frescas ou refrigeradas.","view",
"ncm_02011000","0201.10.00","Carcaças e meias-carcaças","normal","ncm_0201"
"ncm_020120","0201.20","Outras peças não desossadas","view","ncm_0201"
"ncm_02012010","0201.20.10","Quartos dianteiros","normal","ncm_020120"
"ncm_02012020","0201.20.20","Quartos traseiros","normal","ncm_020120"
"ncm_02012090","0201.20.90","Outras","normal","ncm_020120"
"ncm_02013000","0201.30.00","Desossadas","normal","ncm_0201"
"ncm_0202","02.02","Carnes de animais da espécie bovina, congeladas.","view",
"ncm_02021000","0202.10.00","Carcaças e meias-carcaças","normal","ncm_0202"
"ncm_020220","0202.20","Outras peças não desossadas","view","ncm_0202"
"ncm_02022010","0202.20.10","Quartos dianteiros","normal","ncm_020220"
"ncm_02022020","0202.20.20","Quartos traseiros","normal","ncm_020220"
"ncm_02022090","0202.20.90","Outras","normal","ncm_020220"
"ncm_02023000","0202.30.00","Desossadas","normal","ncm_0202"
"ncm_0203","02.03","Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.","view",
"ncm_02031","0203.1","Frescas ou refrigeradas:","view","ncm_0203"
"ncm_02031100","0203.11.00","Carcaças e meias-carcaças","normal","ncm_02031"
"ncm_02031200","0203.12.00","Pernas, pás e respectivos pedaços, não desossados","normal","ncm_02031"
"ncm_02031900","0203.19.00","Outras","normal","ncm_02031"
"ncm_02032","0203.2","Congeladas:","view","ncm_0203"
"ncm_02032100","0203.21.00","Carcaças e meias-carcaças","normal","ncm_02032"
"ncm_02032200","0203.22.00","Pernas, pás e respectivos pedaços, não desossados","normal","ncm_02032"
"ncm_02032900","0203.29.00","Outras","normal","ncm_02032"
"ncm_0204","02.04","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.","view",
"ncm_02041000","0204.10.00","Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas","normal","ncm_0204"
"ncm_02042","0204.2","Outras carnes de animais da espécie ovina, frescas ou refrigeradas:","view","ncm_0204"
"ncm_02042100","0204.21.00","Carcaças e meias-carcaças","normal","ncm_02042"
"ncm_02042200","0204.22.00","Outras peças não desossadas","normal","ncm_02042"
"ncm_02042300","0204.23.00","Desossadas","normal","ncm_02042"
"ncm_02043000","0204.30.00","Carcaças e meias-carcaças de cordeiro, congeladas","normal","ncm_02042"
"ncm_02044","0204.4","Outras carnes de animais da espécie ovina, congeladas:","view","ncm_0204"
"ncm_02044100","0204.41.00","Carcaças e meias-carcaças","normal","ncm_02044"
"ncm_02044200","0204.42.00","Outras peças não desossadas","normal","ncm_02044"
"ncm_02044300","0204.43.00","Desossadas","normal","ncm_02044"
"ncm_02045000","0204.50.00","Carnes de animais da espécie caprina","normal","ncm_02044"
"ncm_02050000","0205.00.00","Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.","normal",
"ncm_0206","02.06","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.","view",
"ncm_02061000","0206.10.00","Da espécie bovina, frescas ou refrigeradas","normal","ncm_0206"
"ncm_02062","0206.2","Da espécie bovina, congeladas:","view","ncm_0206"
"ncm_02062100","0206.21.00","Línguas","normal","ncm_02062"
"ncm_02062200","0206.22.00","Fígados","normal","ncm_02062"
"ncm_020629","0206.29","Outras","view","ncm_02062"
"ncm_02062910","0206.29.10","Rabos","normal","ncm_020629"
"ncm_02062990","0206.29.90","Outros","normal","ncm_020629"
"ncm_02063000","0206.30.00","Da espécie suína, frescas ou refrigeradas","normal",
"ncm_02064","0206.4","Da espécie suína, congeladas:","view","ncm_0206"
"ncm_02064100","0206.41.00","Fígados","normal","ncm_02064"
"ncm_02064900","0206.49.00","Outras","normal","ncm_02064"
"ncm_02068000","0206.80.00","Outras, frescas ou refrigeradas","normal","ncm_0206"
"ncm_02069000","0206.90.00","Outras, congeladas","normal","ncm_0206"
"ncm_0207","02.07","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.","view",
"ncm_02071","0207.1","De galos e de galinhas:","view","ncm_0207"
"ncm_02071100","0207.11.00","Não cortadas em pedaços, frescas ou refrigeradas","normal","ncm_02071"
"ncm_02071200","0207.12.00","Não cortadas em pedaços, congeladas","normal","ncm_02071"
"ncm_02071300","0207.13.00","Pedaços e miudezas, frescos ou refrigerados","normal","ncm_02071"
"ncm_02071400","0207.14.00","Pedaços e miudezas, congelados","normal","ncm_02071"
"ncm_02072","0207.2","De peruas e de perus:","view","ncm_0207"
"ncm_02072400","0207.24.00","Não cortadas em pedaços, frescas ou refrigeradas","normal","ncm_02072"
"ncm_02072500","0207.25.00","Não cortadas em pedaços, congeladas","normal","ncm_02072"
"ncm_02072600","0207.26.00","Pedaços e miudezas, frescos ou refrigerados","normal","ncm_02072"
"ncm_02072700","0207.27.00","Pedaços e miudezas, congelados","normal","ncm_02072"
"ncm_02074","0207.4","De patos:","view","ncm_0207"
"ncm_02074100","0207.41.00","Não cortadas em pedaços, frescas ou refrigeradas","normal","ncm_02074"
"ncm_02074200","0207.42.00","Não cortadas em pedaços, congeladas","normal","ncm_02074"
"ncm_02074300","0207.43.00","Fígados gordos (foies gras), frescos ou refrigerados","normal","ncm_02074"
"ncm_02074400","0207.44.00","Outras, frescas ou refrigeradas","normal","ncm_02074"
"ncm_02074500","0207.45.00","Outras, congeladas","normal","ncm_02074"
"ncm_02075","0207.5","De gansos:","view","ncm_0207"
"ncm_02075100","0207.51.00","Não cortadas em pedaços, frescas ou refrigeradas","normal","ncm_02075"
"ncm_02075200","0207.52.00","Não cortadas em pedaços, congeladas","normal","ncm_02075"
"ncm_02075300","0207.53.00","Fígados gordos (foies gras), frescos ou refrigerados","normal","ncm_02075"
"ncm_02075400","0207.54.00","Outras, frescas ou refrigeradas","normal","ncm_02075"
"ncm_02075500","0207.55.00","Outras, congeladas","normal","ncm_02075"
"ncm_02076000","0207.60.00","De galinhas-d'angola (pintadas)","normal","ncm_02075"
"ncm_0208","02.08","Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.","view",
"ncm_02081000","0208.10.00","De coelhos ou de lebres","normal","ncm_0208"
"ncm_02083000","0208.30.00","De primatas","normal","ncm_0208"
"ncm_02084000","0208.40.00","De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)","normal","ncm_0208"
"ncm_02085000","0208.50.00","De répteis (incluindo as serpentes e as tartarugas marinhas)","normal","ncm_0208"
"ncm_02086000","0208.60.00","De camelos e de outros camelídeos (Camelidae)","normal","ncm_0208"
"ncm_02089000","0208.90.00","Outras","normal","ncm_0208"
"ncm_0209","02.09","Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados.","view",
"ncm_020910","0209.10","De porco","view","ncm_0209"
"ncm_0209101","0209.10.1","Toucinho","view","ncm_020910"
"ncm_02091011","0209.10.11","Fresco, refrigerado ou congelado","normal","ncm_0209101"
"ncm_02091019","0209.10.19","Outros","normal","ncm_0209101"
"ncm_0209102","0209.10.2","Gordura","view","ncm_020910"
"ncm_02091021","0209.10.21","Fresca, refrigerada ou congelada","normal","ncm_0209102"
"ncm_02091029","0209.10.29","Outras","normal","ncm_0209102"
"ncm_02099000","0209.90.00","Outros","normal","ncm_0209102"
"ncm_0210","02.10","Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.","view",
"ncm_02101","0210.1","Carnes da espécie suína:","view","ncm_0210"
"ncm_02101100","0210.11.00","Pernas, pás e respectivos pedaços, não desossados","normal","ncm_02101"
"ncm_02101200","0210.12.00","Toucinhos entremeados e seus pedaços","normal","ncm_02101"
"ncm_02101900","0210.19.00","Outras","normal","ncm_02101"
"ncm_02102000","0210.20.00","Carnes da espécie bovina","normal","ncm_02101"
"ncm_02109","0210.9","Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:","view","ncm_0210"
"ncm_02109100","0210.91.00","De primatas","normal","ncm_02109"
"ncm_02109100_01","0210.91.00:01","Miudezas; farinhas e pós dessas miudezas","extension","ncm_02109100"
"ncm_02109200","0210.92.00","De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)","normal","ncm_02109"
"ncm_02109200_01","0210.92.00:01","Miudezas; farinhas e pós dessas miudezas","extension","ncm_02109200"
"ncm_02109300","0210.93.00","De répteis (incluindo as serpentes e as tartarugas marinhas)","normal","ncm_02109"
"ncm_02109300_01","0210.93.00:01","Miudezas; farinhas e pós dessas miudezas","extension","ncm_02109300"
"ncm_02109900","0210.99.00","Outras","normal","ncm_02109"
"ncm_02109900_01","0210.99.00:01","Miudezas, exceto fígados de aves da posição 01.05; farinhas e pós dessas miudezas","extension","ncm_02109900"
"ncm_02109900_02","0210.99.00:02","Fígados de aves da posição 01.05, salgados ou em salmora","extension","ncm_02109900"
"ncm_3","3","Capítulo 3 - Peixes e crustáceos, moluscos e outros invertebrados aquáticos","view",
"ncm_0301","03.01","Peixes vivos.","view","ncm_3"
"ncm_03011","0301.1","Peixes ornamentais:","view","ncm_0301"
"ncm_030111","0301.11","De água doce","view","ncm_03011"
"ncm_03011110","0301.11.10","Aruanã (Osteoglossum bicirrhosum)","normal","ncm_030111"
"ncm_03011190","0301.11.90","Outros","normal","ncm_030111"
"ncm_03011900","0301.19.00","Outros","normal","ncm_030111"
"ncm_03019","0301.9","Outros peixes vivos:","view","ncm_0301"
"ncm_030191","0301.91","Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)","view","ncm_03019"
"ncm_03019110","0301.91.10","Para reprodução","normal","ncm_030191"
"ncm_03019190","0301.91.90","Outras","normal","ncm_030191"
"ncm_030192","0301.92","Enguias (Anguilla spp.)","view","ncm_03019"
"ncm_03019210","0301.92.10","Para reprodução","normal","ncm_030192"
"ncm_03019290","0301.92.90","Outras","normal","ncm_03019210"
"ncm_030193","0301.93","Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)","view","ncm_03019"
"ncm_03019310","0301.93.10","Para reprodução","normal","ncm_030193"
"ncm_03019390","0301.93.90","Outras","normal","ncm_030193"
"ncm_030194","0301.94","Atuns azuis (Thunnus thynnus, Thunnus orientalis)","view","ncm_03019"
"ncm_03019410","0301.94.10","Para reprodução","normal","ncm_030194"
"ncm_03019490","0301.94.90","Outras","normal","ncm_030194"
"ncm_030195","0301.95","Atum azul do Sul (Thunnus maccoyii)","view","ncm_03019"
"ncm_03019510","0301.95.10","Para reprodução","normal","ncm_030195"
"ncm_03019590","0301.95.90","Outros","normal","ncm_030195"
"ncm_030199","0301.99","Outros","view","ncm_03019"
"ncm_0301991","0301.99.1","Para reprodução","view","ncm_030199"
"ncm_03019911","0301.99.11","Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)","normal","ncm_0301991"
"ncm_03019912","0301.99.12","Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)","normal","ncm_0301991"
"ncm_03019919","0301.99.19","Outros","normal","ncm_0301991"
"ncm_0301999","0301.99.9","Outros","view","ncm_030199"
"ncm_03019991","0301.99.91","Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)","normal","ncm_0301999"
"ncm_03019992","0301.99.92","Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)","normal","ncm_0301999"
"ncm_03019999","0301.99.99","Outros","normal","ncm_0301999"
"ncm_0302","03.02","Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.","view",
"ncm_03021","0302.1","Salmonídeos, exceto fígados, ovas e sêmen:","view","ncm_0302"
"ncm_03021100","0302.11.00","Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)","normal","ncm_03021"
"ncm_03021300","0302.13.00","Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)","normal","ncm_03021"
"ncm_03021400","0302.14.00","Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)","normal","ncm_03021"
"ncm_03021900","0302.19.00","Outros","normal","ncm_03021"
"ncm_03022","0302.2","Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto fígados, ovas e sêmen:","view","ncm_0302"
"ncm_03022100","0302.21.00","Linguados-gigantes (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","normal","ncm_03022"
"ncm_03022200","0302.22.00","Solha (Pleuronectes platessa)","normal","ncm_03022"
"ncm_03022300","0302.23.00","Linguados (Solea spp.)","normal","ncm_03022"
"ncm_03022400","0302.24.00","Pregado (Psetta maxima)","normal","ncm_03022"
"ncm_03022900","0302.29.00","Outros","normal","ncm_03022"
"ncm_03023","0302.3","Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis), exceto fígados, ovas e sêmen:","view","ncm_0302"
"ncm_03023100","0302.31.00","Albacora-branca (Thunnus alalunga)","normal","ncm_03023"
"ncm_03023200","0302.32.00","Albacora-laje (Thunnus albacares)","normal","ncm_03023"
"ncm_03023300","0302.33.00","Bonito-listrado","normal","ncm_03023"
"ncm_03023400","0302.34.00","Albacora-bandolim (Thunnus obesus)","normal","ncm_03023"
"ncm_03023500","0302.35.00","Atuns azuis (Thunnus thynnus, Thunnus orientalis)","normal","ncm_03023"
"ncm_03023600","0302.36.00","Atum azul do Sul (Thunnus maccoyii)","normal","ncm_03023"
"ncm_03023900","0302.39.00","Outros","normal","ncm_03023"
"ncm_03024","0302.4","Arenques (Clupea harengus, Clupea pallasii), anchovas (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus), cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus), chicharros (Trachurus spp.), bijupirá (Rachycentron canadum) e espadarte (Xiphias gladius), exceto fígados, ovas e sêmen:","view","ncm_0302"
"ncm_03024100","0302.41.00","Arenques (Clupea harengus, Clupea pallasii)","normal","ncm_03024"
"ncm_030242","0302.42","Anchovas (Engraulis spp.)","view","ncm_03024"
"ncm_03024210","0302.42.10","Anchoita (Engraulis anchoita)","normal","ncm_030242"
"ncm_03024290","0302.42.90","Outros","normal","ncm_030242"
"ncm_03024300","0302.43.00","Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus)","normal","ncm_030242"
"ncm_03024400","0302.44.00","Cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus)","normal","ncm_030242"
"ncm_03024500","0302.45.00","Chicharros (Trachurus spp.)","normal","ncm_030242"
"ncm_03024600","0302.46.00","Bijupirá (Rachycentron canadum)","normal","ncm_030242"
"ncm_03024700","0302.47.00","Espadarte (Xiphias gladius)","normal","ncm_030242"
"ncm_03025","0302.5","Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto fígados, ovas e sêmen:","view","ncm_0302"
"ncm_03025100","0302.51.00","Bacalhau-do-atlântico (Gadus mohrua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)","normal","ncm_03025"
"ncm_03025200","0302.52.00","Haddock ou lubina (Melanogrammus aeglefinus)","normal","ncm_03025"
"ncm_03025300","0302.53.00","Saithe (Pollachius virens)","normal","ncm_03025"
"ncm_03025400","0302.54.00","Merluzas e abróteas (Merluccius spp., Urophycis spp.)","normal","ncm_03025"
"ncm_03025500","0302.55.00","Merluza-do-alasca (Theragra chalcogramma)","normal","ncm_03025"
"ncm_03025600","0302.56.00","Verdinhos (Micromesistius poutassou, Micromesistius australis)","normal","ncm_03025"
"ncm_03025900","0302.59.00","Outros","normal","ncm_03025"
"ncm_03027","0302.7","Tilápias (Oreochromis spp.), bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), exceto fígados, ovas e sêmen:","view","ncm_0302"
"ncm_03027100","0302.71.00","Tilápias (Oreochromis spp.)","normal","ncm_03027"
"ncm_030272","0302.72","Bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","normal","ncm_0302"
"ncm_03027210","0302.72.10","Bagre (Ictalurus puntactus)","normal","ncm_030272"
"ncm_03027290","0302.72.90","Outros","normal","ncm_030272"
"ncm_03027300","0302.73.00","Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophtalmichtys spp., Mylopharyngodon piceus)","normal","ncm_030272"
"ncm_03027400","0302.74.00","Enguias (Anguilla spp.)","normal","ncm_030272"
"ncm_03027900","0302.79.00","Outros","normal","ncm_030272"
"ncm_03028","0302.8","Outros peixes, exceto fígados, ovas e sêmen:","view","ncm_0302"
"ncm_03028100","0302.81.00","Cação e outros tubarões","normal","ncm_03028"
"ncm_03028200","0302.82.00","Raias (Rajidae)","normal","ncm_03028"
"ncm_030283","0302.83","Merluza negra e merluza antártica (Dissostichus spp.)","view",
"ncm_03028310","0302.83.10","Merluza negra (Dissostichus eleginoides)","normal",
"ncm_03028320","0302.83.20","Merluza antártica (Dissostichus mawsoni)","normal",
"ncm_03028400","0302.84.00","Robalos (Dicentrarchus spp.)","normal",
"ncm_03028500","0302.85.00","Pargos ou sargos (Sparidae)","normal",
"ncm_030289","0302.89","Outros","view",
"ncm_0302891","0302.89.1","Agulhões (Istiophorus spp., Tetrapturus spp., Makaira spp.) e pargo (Lutjanus purpureus)","view",
"ncm_03028911","0302.89.11","Agulhões (Istiophorus spp., Tetrapturus spp., Makaira spp.)","normal",
"ncm_03028912","0302.89.12","Pargo (Lutjanus purpureus)","normal",
"ncm_0302892","0302.89.2","Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), esturjão (Acipenser baeri) e peixes-rei (Atherina spp.)","view",
"ncm_03028921","0302.89.21","Cherne-poveiro (Polyprion americanus)","normal",
"ncm_03028922","0302.89.22","Garoupas (Acanthistius spp.)","normal",
"ncm_03028923","0302.89.23","Esturjão (Acipenser baeri)","normal",
"ncm_03028924","0302.89.24","Peixes-rei (Atherina spp.)","normal",
"ncm_0302893","0302.89.3","Curimatãs (Prochilodus spp.), tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos), surubins (Pseudoplatystoma spp.), traíra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.), tainhas (Mugil spp.), pirarucu (Arapaima gigas) e pescadas (Cynocion spp.)","view",
"ncm_03028931","0302.89.31","Curimatãs (Prochilodus spp.)","normal",
"ncm_03028932","0302.89.32","Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)","normal",
"ncm_03028933","0302.89.33","Surubins (Pseudoplatystoma spp.)","normal",
"ncm_03028934","0302.89.34","Traíra (Hoplias malabaricus & H. cf. lacerdae)","normal",
"ncm_03028935","0302.89.35","Piaus (Leporinus spp.)","normal",
"ncm_03028936","0302.89.36","Tainhas (Mugil spp.)","normal",
"ncm_03028937","0302.89.37","Pirarucu (Arapaima gigas)","normal",
"ncm_03028938","0302.89.38","Pescadas (Cynocion spp.)","normal",
"ncm_0302894","0302.89.4","Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (híbrido de tambaqui e pacu)","view",
"ncm_03028941","0302.89.41","Piramutaba (Brachyplatystoma vaillantii)","normal",
"ncm_03028942","0302.89.42","Dourada (Brachyplatystoma flavicans)","normal",
"ncm_03028943","0302.89.43","Pacu (Piaractus mesopotamicus)","normal",
"ncm_03028944","0302.89.44","Tambaqui (Colossoma macropomum)","normal",
"ncm_03028945","0302.89.45","Tambacu (híbrido de tambaqui e pacu)","normal",
"ncm_03028990","0302.89.90","Outros","normal",
"ncm_03029000","0302.90.00","Fígados, ovas e sêmen","normal",
"ncm_0303","03.03","Peixes congelados, exceto os filés de peixes e outra carne de peixes da posição 03.04.","view",
"ncm_03031","0303.1","Salmonídeos, exceto fígados, ovas e sêmen:","view",
"ncm_03031100","0303.11.00","Salmão (Oncorhynchus nerka)","normal",
"ncm_03031200","0303.12.00","Outros salmões-do-pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)","normal",
"ncm_03031300","0303.13.00","Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)","normal",
"ncm_03031400","0303.14.00","Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)","normal",
"ncm_03031900","0303.19.00","Outros","normal",
"ncm_03032","0303.2","Tilápias (Oreochromis spp.), bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), exceto fígados, ovas e sêmen:","view",
"ncm_03032300","0303.23.00","Tilápias (Oreochromis spp.)","normal",
"ncm_030324","0303.24","Bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","view",
